0,1,2,3
0.0,130.33,57.0,80.5
0.0,565.0,57.0,38.15
0.0,570.33,57.0,47.76
0.0,682.0,57.0,38.93
0.0,159.0,57.0,73.95
0.0,579.33,738.0,29.52
0.0,473.33,57.0,32.21
0.0,631.67,793.0,29.42
0.0,160.0,57.0,66.75
0.0,357.67,503.0,28.92
0.0,441.0,591.0,29.31
0.0,572.0,730.0,28.82
0.0,131.0,57.0,60.14
0.0,272.67,413.0,28.32
0.0,430.33,580.0,28.71
0.0,299.33,441.0,28.22
0.0,130.0,57.0,54.14
0.0,279.67,420.0,27.72
0.0,517.0,672.0,28.11
0.0,261.0,400.0,27.62
0.0,139.5,57.0,47.83
0.0,327.5,471.0,27.13
0.0,700.5,866.0,27.52
0.0,260.0,399.0,27.03
0.0,149.5,57.0,41.23
0.0,273.0,413.0,26.53
0.0,178.0,312.0,26.92
0.0,231.5,369.0,26.43
0.0,131.0,57.0,34.69
0.0,298.5,440.0,25.93
0.0,197.5,333.0,26.32
0.0,239.5,377.0,25.83
0.0,130.0,261.0,29.86
0.0,262.0,401.0,25.33
0.0,114.5,245.0,25.72
0.0,278.0,418.0,25.23
0.0,130.0,261.0,29.26
0.0,355.0,500.0,24.73
0.0,110.0,240.0,25.12
0.0,308.5,451.0,24.63
0.0,130.0,261.0,28.66
0.0,303.0,445.0,24.13
0.0,110.0,240.0,24.52
0.0,547.5,704.0,24.03
41.8,158.5,292.0,28.59
41.8,490.0,643.0,24.06
41.8,727.5,895.0,24.45
41.8,541.0,697.0,23.96
579.61,131.5,263.0,34.43
579.61,471.5,623.0,29.9
579.61,351.5,496.0,30.29
579.61,321.5,464.0,29.81
1272.42,130.0,57.0,47.84
1272.42,517.5,57.0,39.54
1272.42,121.0,57.0,44.48
1272.42,234.0,57.0,43.11
1146.94,130.0,57.0,67.23
1146.94,206.5,57.0,53.25
1146.94,110.0,57.0,64.33
1146.94,220.5,57.0,60.21
2057.25,130.0,57.0,93.96
2057.25,418.0,57.0,75.95
2057.25,148.0,57.0,91.11
2057.25,210.5,57.0,84.93
299.2,130.0,57.0,100.0
1296.1,411.0,57.0,98.49
278.68,112.0,57.0,100.0
401.23,219.5,57.0,100.0
310.03,139.5,57.0,100.0
845.83,609.5,57.0,100.0
298.06,129.0,57.0,100.0
390.97,210.5,57.0,100.0
299.77,130.5,57.0,100.0
487.77,354.0,57.0,99.49
299.2,130.0,57.0,100.0
379.57,200.5,57.0,100.0
310.03,139.5,57.0,100.0
363.56,406.5,57.0,96.2
299.2,130.0,57.0,100.0
363.56,656.0,57.0,95.36
299.77,130.5,57.0,100.0
554.18,277.0,57.0,94.28
299.2,130.0,57.0,100.0
554.18,252.5,57.0,90.44
99.47,130.0,57.0,99.11
99.47,659.5,57.0,87.32
99.47,111.0,57.0,99.26
99.47,220.5,57.0,89.0
3.75,130.0,57.0,93.73
3.75,661.0,57.0,69.09
3.75,794.0,57.0,86.49
3.75,267.5,57.0,80.94
0.0,130.0,57.0,87.73
0.0,470.0,57.0,52.46
0.0,1457.0,57.0,56.45
0.0,222.5,57.0,71.92
0.0,139.5,57.0,81.32
0.0,488.5,57.0,38.04
0.0,483.0,635.0,29.96
0.0,210.5,57.0,63.52
0.0,130.5,57.0,74.86
0.0,528.0,683.0,29.52
0.0,477.5,630.0,29.36
0.0,267.0,57.0,54.7
0.0,130.0,57.0,68.96
0.0,492.67,646.0,28.93
0.0,489.33,642.0,28.77
0.0,550.0,57.0,42.15
0.0,130.0,57.0,62.96
0.0,527.33,682.0,28.33
0.0,508.67,663.0,28.17
0.0,271.33,411.0,29.78
0.0,130.0,57.0,56.96
0.0,212.67,349.0,27.73
0.0,622.0,783.0,27.57
0.0,306.0,448.0,29.18
0.0,130.0,57.0,50.96
0.0,283.33,424.0,27.13
0.0,490.0,643.0,26.97
0.0,216.67,353.0,28.58
0.0,130.0,57.0,44.96
0.0,215.33,352.0,26.53
0.0,190.67,326.0,26.37
0.0,294.0,435.0,27.98
0.0,130.0,57.0,38.96
0.0,284.67,425.0,25.93
0.0,114.0,244.0,25.77
0.0,244.0,382.0,27.38
0.0,139.33,57.0,32.56
0.0,243.33,381.0,25.33
0.0,91.33,220.0,25.17
0.0,221.33,358.0,26.78
0.0,158.67,292.0,29.56
0.0,258.67,398.0,24.73
0.0,90.0,219.0,24.57
0.0,229.33,367.0,26.18
0.0,132.0,263.0,28.96
0.0,288.0,429.0,24.13
0.0,90.0,219.0,23.97
0.0,930.0,1109.0,25.58
54.41,148.67,281.0,29.03
54.41,588.67,747.0,24.2
54.41,398.0,545.0,24.04
54.41,392.0,539.0,25.64
507.14,131.33,263.0,34.21
507.14,526.0,681.0,29.38
507.14,130.67,262.0,29.22
507.14,294.0,435.0,30.82
1218.57,130.0,57.0,46.39
1218.57,492.0,57.0,38.6
1218.57,558.0,57.0,39.61
1218.57,243.33,57.0,42.55
1605.9,130.0,57.0,69.87
1605.9,340.67,57.0,55.23
1605.9,487.33,57.0,53.35
1605.9,249.33,57.0,63.32
309.84,139.33,57.0,100.0
2118.51,423.33,57.0,81.97
2118.51,470.67,57.0,77.69
2118.51,259.33,57.0,92.9
278.68,112.0,57.0,100.0
439.04,252.67,57.0,100.0
622.96,414.0,57.0,100.0
404.84,222.67,57.0,100.0
318.96,147.33,57.0,100.0
733.16,510.67,57.0,100.0
650.32,438.0,57.0,100.0
401.8,220.0,57.0,100.0
300.72,131.33,57.0,100.0
478.56,287.33,57.0,100.0
588.76,384.0,57.0,100.0
433.72,248.0,57.0,100.0
299.2,130.0,57.0,100.0
480.08,288.67,57.0,100.0
562.92,361.33,57.0,100.0
393.44,212.67,57.0,100.0
299.2,130.0,57.0,100.0
566.72,364.67,57.0,100.0
593.32,388.0,57.0,100.0
422.32,238.0,57.0,100.0
107.06,130.0,57.0,99.19
